 , 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 3, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 4, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 5, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 6, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 7, 8, 9, 
1, 4.79992485046, 4.81319713593, 4.9252820015, 4.89615607262, 5.0819170475, 5.12835001945, 5.10827088356, 5.10916996002, 5.01227211952, 4.92001914978, 5.02878308296, 4.92485618591, 4.94193792343, 4.88971400261, 4.95927381516, 4.96140384674, 5.02835202217, 5.00725698471, 5.01489710808, 5.19072818756, 4.68124198914, 5.10178303719, 4.97227501869, 4.99239301682, 5.09219193459, 5.29310297966, 5.22911906242, 5.132117033, 5.17132401466, 5.08920097351, 5.20808506012, 4.76524996758, 5.19962596893, 5.43327593803, 5.46959710121, 5.45293021202, 5.38466095924, 5.17722892761, 5.22577190399, 5.32898902893, 5.22089290619, 5.21382594109, 4.70926499367, 5.25473403931, 5.19142508507, 5.25170207024, 5.2073700428, 5.24080896378, 5.21011090279, 5.19825792313, 5.2453122139, 5.3759098053, 5.41170406342, 4.80507898331, 5.28096485138, 5.281717062, 5.37840604782, 5.27605891228, 5.482888937, 5.41201496124, 5.35150694847, 5.37349200249, 5.38821101189, 5.3217549324, 4.89540696144, 4.83112311363, 4.92434096336, 
2, 7.51160907745, 7.56512594223, 7.56426692009, 7.70229005814, 7.66672682762, 8.14197897911, 7.67261314392, 7.74215888977, 7.65809512138, 7.77628397942, 7.7807559967, 8.00775384903, 7.76194310188, 7.88231420517, 7.77835607529, 7.80093193054, 7.7352399826, 7.91563415527, 7.82386183739, 8.11041498184, 7.29668402672, 7.92289209366, 7.96155905724, 7.85708785057, 7.92309713364, 8.03815793991, 7.92348909378, 7.94959998131, 8.01744389534, 8.06654906273, 8.11195206642, 7.36348700523, 8.07798409462, 8.12109684944, 8.12319684029, 8.16106414795, 8.21710205078, 8.18869709969, 8.12009477615, 8.16331291199, 8.22707891464, 8.25365495682, 7.35756111145, 8.21564102173, 8.33444499969, 8.3392021656, 8.29694318771, 8.32877516747, 8.25459909439, 8.3502471447, 8.38062000275, 8.48169994354, 8.45799803734, 7.37960290909, 8.62544202805, 8.67984604836, 8.54207897186, 8.49375891685, 8.44620990753, 8.53216099739, 8.54509520531, 8.560765028, 8.57326507568, 8.57489013672, 7.40483403206, 7.36571907997, 7.46500301361, 
3, 10.1170530319, 10.2060301304, 10.3347680569, 10.4628469944, 10.4683589935, 10.4521791935, 10.3552970886, 10.5380179882, 10.7325828075, 11.6428790092, 11.2689299583, 11.2579581738, 10.9250710011, 10.8904340267, 10.9381020069, 11.0846869946, 11.7668619156, 12.6044209003, 12.3401610851, 12.3454720974, 9.95173692703, 11.8161091805, 11.3737139702, 11.4563179016, 11.5079758167, 11.5654029846, 11.4843540192, 11.6591711044, 11.584250927, 11.5925469398, 11.6340708733, 9.87561011314, 11.5693790913, 11.7306668758, 11.7415759563, 11.5379049778, 12.4876408577, 12.3253891468, 12.0536751747, 12.0272538662, 11.8600251675, 11.8673839569, 9.98859214783, 12.0113251209, 12.0683758259, 12.1678781509, 12.0785450935, 12.0126559734, 11.9929478168, 12.2329449654, 12.313806057, 11.8976278305, 12.7435700893, 10.0808498859, 12.9881210327, 12.5071349144, 12.5295510292, 12.3592679501, 12.573636055, 12.433660984, 12.5905618668, 12.6083099842, 12.7089321613, 12.7407770157, 10.0959479809, 10.0631439686, 10.0870370865, 
4, 14.0822029114, 13.8684029579, 13.7062120438, 13.8239970207, 13.8156580925, 13.96459198, 13.5285980701, 14.6687619686, 14.2925438881, 14.0417509079, 14.0366630554, 14.17532897, 14.0861589909, 14.1216080189, 14.145843029, 14.2004790306, 14.0811359882, 14.3096129894, 14.3967511654, 14.3352789879, 13.3930990696, 14.2699561119, 14.3866150379, 14.3534100056, 14.3391640186, 14.6308691502, 14.4530479908, 14.5905561447, 14.5688199997, 14.5835249424, 14.5635740757, 13.5354220867, 14.6718108654, 14.7316989899, 14.8796620369, 14.9543550014, 15.044041872, 15.0171859264, 15.1328070164, 15.0031189919, 15.0554521084, 15.194329977, 13.5146298409, 15.3252558708, 15.1835620403, 15.3351631165, 15.1690661907, 14.8874909878, 15.9534640312, 16.1815228462, 15.485850811, 15.7165210247, 15.6230080128, 13.5944881439, 15.5068249702, 15.6259939671, 15.534594059, 15.6441731453, 15.7200210094, 15.6129090786, 15.4246370792, 16.7383019924, 16.4240860939, 15.9809169769, 13.7005670071, 13.6647648811, 13.7294850349, 
5, 16.6059269905, 16.8359379768, 16.4914700985, 16.7388329506, 16.7683110237, 16.8996419907, 17.2842550278, 17.1548089981, 16.9390408993, 17.0791451931, 16.9277338982, 17.3274281025, 17.1826930046, 17.2997031212, 17.2543661594, 17.3030970097, 17.4512860775, 17.4968369007, 17.5252940655, 17.5214400291, 16.2546339035, 17.6331019402, 17.7495501041, 17.77323699, 17.6444790363, 17.8799300194, 17.9357721806, 18.036823988, 17.9254732132, 18.1084108353, 18.1955940723, 16.2044768333, 18.3607349396, 18.2916622162, 18.3577070236, 18.4119608402, 18.3343980312, 18.4246890545, 18.4704351425, 18.3714160919, 18.7003009319, 18.6304371357, 15.9372830391, 18.6536669731, 18.7170817852, 18.787238121, 18.9800298214, 19.0674710274, 19.5572171211, 18.5365049839, 18.7289719582, 18.7368869781, 18.5899548531, 17.0627498627, 18.7791340351, 18.6029620171, 19.1683821678, 18.4465639591, 18.9825501442, 18.1355321407, 18.4109210968, 20.1780860424, 19.8698880672, 19.9162890911, 17.0039579868, 16.5811579227, 16.7469170094, 
6, 19.6936020851, 20.7887229919, 18.9572031498, 19.0306460857, 19.0098690987, 19.0797131062, 19.6036670208, 19.499546051, 19.1299819946, 19.4287650585, 19.0560040474, 19.0856311321, 19.1213300228, 19.1916630268, 19.1236701012, 19.0289580822, 19.0711948872, 19.6827330589, 19.5006740093, 19.5129549503, 19.2201559544, 19.3737330437, 19.5228278637, 19.5967738628, 19.7780940533, 19.779946804, 19.6475439072, 19.7254149914, 19.9303059578, 19.9642951488, 19.9192361832, 20.3005280495, 20.3636860847, 20.9770920277, 20.2016580105, 20.0214278698, 20.2391009331, 20.0873990059, 20.0594270229, 20.9160239697, 20.5013158321, 20.7105798721, 21.4345591068, 20.9856009483, 20.6836700439, 20.8137509823, 21.3828299046, 21.014373064, 20.8771049976, 20.7807281017, 20.7944149971, 20.883991003, 20.7510740757, 21.514425993, 20.9076769352, 21.0027770996, 20.9919230938, 21.1468110085, 21.1498370171, 21.1269459724, 21.2154231071, 21.3521471024, 21.8635370731, 21.3785829544, 19.7351620197, 19.1114909649, 19.3176620007, 
7, 21.4194459915, 21.6499550343, 21.4430038929, 21.1785340309, 21.3007040024, 21.2701320648, 21.4523770809, 21.3490438461, 21.5652749538, 22.8762960434, 21.6143660545, 21.6011948586, 21.494592905, 21.6438720226, 21.628341198, 22.3751070499, 22.6055188179, 22.3465249538, 22.0616910458, 22.2917020321, 20.8474690914, 21.9462008476, 22.7223660946, 22.5107851028, 22.5694060326, 22.7005829811, 22.3265621662, 22.5132031441, 22.65452981, 22.396271944, 22.5374660492, 20.4179899693, 22.4462471008, 22.6798090935, 23.0617239475, 23.075810194, 23.0636501312, 23.1765100956, 23.016092062, 25.9223051071, 24.8384971619, 26.7275438309, 20.5908830166, 24.6494600773, 24.6947340965, 24.5544700623, 24.4181010723, 25.1771869659, 24.8837661743, 23.9451730251, 23.7143349648, 23.795511961, 23.9144868851, 20.5741229057, 25.0781481266, 25.7255370617, 25.3894369602, 26.4305949211, 25.3644230366, 24.8765821457, 25.1701769829, 25.2755079269, 25.3774709702, 25.2974839211, 21.1003780365, 22.1346130371, 21.8543598652, 
8, 23.954102993, 24.5545611382, 25.3733241558, 25.3864319324, 25.4040100574, 25.8417470455, 25.1180889606, 24.7075190544, 25.2376031876, 24.9052860737, 24.9454081059, 25.3080589771, 25.0733790398, 25.5251648426, 25.4701359272, 25.6006410122, 25.5235199928, 25.9226939678, 26.4559669495, 25.8969578743, 23.3014190197, 26.3238620758, 26.4868490696, 26.8448660374, 26.8530058861, 26.1420111656, 26.3513360023, 26.8302950859, 26.2198438644, 27.0333600044, 26.8810920715, 24.4088330269, 26.2081022263, 27.373103857, 27.985574007, 26.5092921257, 26.6601378918, 26.5037372112, 27.4634940624, 28.8013730049, 30.5169219971, 30.4209449291, 25.0081181526, 30.8378000259, 30.205343008, 30.3195090294, 33.1349341869, 32.0375089645, 29.6452448368, 28.1778359413, 28.8550648689, 28.0673010349, 27.7632741928, 24.1733391285, 28.1955831051, 30.0058000088, 29.1592378616, 29.0177090168, 29.1541569233, 28.9009711742, 28.5850191116, 29.8076348305, 29.1251950264, 28.6594789028, 24.106498003, 24.2983798981, 23.8866028786, 
9, 27.8853569031, 27.1387810707, 27.5385408401, 27.3928000927, 28.444849968, 27.2365310192, 26.6853868961, 26.8638749123, 26.7813229561, 26.530477047, 26.6205341816, 26.6500241756, 26.8398470879, 26.9149119854, 26.9637200832, 27.0917069912, 27.3021709919, 27.1944839954, 27.307997942, 27.5839078426, 29.5205280781, 27.4778661728, 27.4826550484, 27.5173170567, 27.6087379456, 27.7439680099, 27.9098529816, 27.8494331837, 27.880863905, 28.1151161194, 28.4331519604, 27.4471700191, 28.3400919437, 28.2691340446, 28.3809771538, 28.474424839, 28.5912430286, 28.712305069, 28.8911581039, 28.8972418308, 29.0549910069, 29.00131917, 27.3059949875, 28.9698970318, 29.3143689632, 29.3624610901, 29.2807271481, 29.3129329681, 29.4732811451, 29.5912020206, 29.7091119289, 29.6656608582, 29.8462371826, 27.1277699471, 32.887706995, 31.154074192, 30.5071840286, 30.1602249146, 30.2321469784, 30.3515298367, 30.4329550266, 30.4272789955, 30.563642025, 30.5908110142, 27.0882709026, 27.1154308319, 26.5660049915, 
